Mes_referencia,Cargo,Estado_civil,Homens,Mulheres,Media_idade,Mais_velho,Mais_novo,Primeiro_contratado
2021-1,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-1,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-10,Adm Contratos,Solteiro,1,1,40.0,47,34,1998-08-24
2021-11,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-11,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-12,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-12,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-2,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-2,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-3,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-3,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-4,Adm Contratos,Solteiro,1,1,40.0,47,34,1998-08-24
2021-5,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-5,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-6,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-6,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-7,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-7,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-8,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2021-8,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-9,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-9,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2022-1,Adm Contratos,Solteiro,1,1,43.0,47,34,1998-08-24
2022-2,Adm Contratos,Solteiro,1,1,36.0,37,34,2009-08-05
2022-2,Adm Contratos,Casado,1,0,47.0,47,47,1998-08-24
2021-5,Administrador,Casado,1,0,65.0,65,65,2018-04-03
2021-1,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-11,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-12,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-2,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-3,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-4,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-5,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-6,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-7,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-8,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2021-9,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2022-1,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2022-10,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-11,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-12,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-2,Administrador Tecnico,Casado,1,0,37.0,37,37,2018-11-05
2022-3,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-4,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-5,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-6,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-7,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-8,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2022-9,Administrador Tecnico,Solteiro,1,0,37.0,37,37,2018-11-05
2021-1,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-10,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-11,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-12,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-2,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-3,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-4,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-5,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-6,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-7,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-8,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-9,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-1,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-10,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-11,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-12,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-2,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-3,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-4,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-5,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-6,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-7,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-8,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2022-9,Advogado I,Casado,0,0,45.0,45,45,2019-07-02
2021-1,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2021-10,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-11,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-12,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-2,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2021-3,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-4,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-5,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-6,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-7,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-8,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2021-9,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2022-1,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-10,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-11,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-12,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-2,Advogado Ii,Casado,1,1,43.0,44,42,2012-08-01
2022-3,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-4,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-5,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-6,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-7,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-8,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2022-9,Advogado Ii,Casado,1,0,44.0,44,44,2012-08-01
2021-1,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-10,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-11,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-12,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-2,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-3,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2021-3,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-4,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-5,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-6,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-7,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-8,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2021-9,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2022-1,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-1,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-10,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-10,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-11,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-11,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-12,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-12,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-2,Advogado Iii,Casado,1,0,54.0,57,46,1985-07-05
2022-3,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-3,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-4,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-4,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-5,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-5,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-6,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-6,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-7,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-7,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-8,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-8,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-9,Advogado Iii,Casado,1,0,57.0,57,57,1985-07-05
2022-9,Advogado Iii,Solteiro,0,1,43.0,43,43,2006-06-01
2022-10,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-11,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-12,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-4,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-5,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-6,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-7,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-8,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2022-9,Analista Administ Jr,Solteiro,0,1,30.0,30,30,2017-08-15
2021-1,Anl Administrativo I,Solteiro,1,1,35.0,42,31,2012-01-20
2021-1,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-10,Anl Administrativo I,Solteiro,1,1,35.0,42,30,2012-01-20
2021-10,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-11,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-11,Anl Administrativo I,Solteiro,1,1,35.0,42,30,2012-01-20
2021-12,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-12,Anl Administrativo I,Solteiro,1,1,35.0,42,30,2012-01-20
2021-2,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-2,Anl Administrativo I,Solteiro,1,1,35.0,42,31,2012-01-20
2021-3,Anl Administrativo I,Solteiro,1,1,36.0,42,31,2012-01-20
2021-3,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-4,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-4,Anl Administrativo I,Solteiro,1,1,35.0,42,30,2012-01-20
2021-5,Anl Administrativo I,Solteiro,1,1,35.0,42,30,2012-01-20
2021-5,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-6,Anl Administrativo I,Solteiro,1,1,34.0,42,30,2012-01-20
2021-6,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-7,Anl Administrativo I,Solteiro,1,1,34.0,42,30,2012-01-20
2021-7,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-8,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2021-8,Anl Administrativo I,Solteiro,1,1,34.0,42,30,2012-01-20
2021-9,Anl Administrativo I,Solteiro,1,1,34.0,42,30,2012-01-20
2021-9,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2022-1,Anl Administrativo I,Solteiro,0,1,42.0,42,42,2016-07-04
2022-1,Anl Administrativo I,Casado,0,0,31.0,31,31,2015-09-21
2022-10,Anl Administrativo I,Solteiro,1,1,34.0,42,29,2016-07-04
2022-10,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-11,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-11,Anl Administrativo I,Solteiro,1,1,34.0,42,29,2016-07-04
2022-12,Anl Administrativo I,Solteiro,1,1,34.0,42,29,2016-07-04
2022-12,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-2,Anl Administrativo I,Solteiro,1,1,36.0,42,31,2012-01-20
2022-2,Anl Administrativo I,Casado,0,1,32.0,36,31,2015-09-21
2022-3,Anl Administrativo I,Solteiro,0,1,42.0,42,42,2016-07-04
2022-3,Anl Administrativo I,Casado,0,0,31.0,31,31,2015-09-21
2022-4,Anl Administrativo I,Solteiro,0,1,42.0,42,42,2016-07-04
2022-5,Anl Administrativo I,Solteiro,0,1,42.0,42,42,2016-07-04
2022-6,Anl Administrativo I,Solteiro,1,1,34.0,42,29,2016-07-04
2022-7,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-7,Anl Administrativo I,Solteiro,1,0,29.0,29,29,2021-04-01
2022-8,Anl Administrativo I,Solteiro,1,0,29.0,29,29,2021-04-01
2022-8,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-9,Anl Administrativo I,Casado,0,1,42.0,42,42,2012-11-01
2022-9,Anl Administrativo I,Solteiro,1,0,29.0,29,29,2021-04-01
2021-1,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-1,Anl Administrativo Ii,Solteiro,1,1,38.0,50,34,2013-08-05
2021-10,Anl Administrativo Ii,Solteiro,0,1,45.0,50,42,2018-11-01
2021-10,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-11,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-11,Anl Administrativo Ii,Solteiro,0,1,45.0,50,42,2018-11-01
2021-12,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-12,Anl Administrativo Ii,Solteiro,0,1,45.0,50,42,2018-11-01
2021-2,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-2,Anl Administrativo Ii,Solteiro,1,1,38.0,50,34,2013-08-05
2021-3,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-3,Anl Administrativo Ii,Solteiro,1,1,37.0,50,31,2013-08-05
2021-4,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-4,Anl Administrativo Ii,Solteiro,1,1,37.0,50,31,2013-08-05
2021-5,Anl Administrativo Ii,Solteiro,1,1,38.0,50,34,2013-08-05
2021-5,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2021-6,Anl Administrativo Ii,Solteiro,1,1,38.0,50,34,2013-08-05
2021-6,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-7,Anl Administrativo Ii,Solteiro,1,1,38.0,50,34,2013-08-05
2021-7,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-8,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-8,Anl Administrativo Ii,Solteiro,1,1,40.0,50,34,2015-04-01
2021-9,Anl Administrativo Ii,Casado,1,0,42.0,53,34,1989-10-23
2021-9,Anl Administrativo Ii,Solteiro,0,1,45.0,50,42,2018-11-01
2022-1,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-1,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-10,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-10,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-11,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-11,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-12,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-12,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-2,Anl Administrativo Ii,Solteiro,0,1,45.0,50,42,2018-11-01
2022-2,Anl Administrativo Ii,Casado,1,1,39.0,53,31,1989-10-23
2022-3,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-3,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-4,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-4,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-5,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-5,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-6,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-6,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-7,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-7,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-8,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-8,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2022-9,Anl Administrativo Ii,Solteiro,1,1,38.0,50,31,2014-02-13
2022-9,Anl Administrativo Ii,Casado,1,0,46.0,53,36,1989-10-23
2021-1,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-1,Anl Administrativo Iii,Casado,1,0,43.0,43,43,2005-11-01
2021-10,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2021-11,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2021-12,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2021-2,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-2,Anl Administrativo Iii,Casado,1,0,43.0,43,43,2005-11-01
2021-3,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-4,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-5,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-6,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-7,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-8,Anl Administrativo Iii,Solteiro,0,1,60.0,60,60,1990-03-06
2021-9,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-1,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-10,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-11,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-12,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-2,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-3,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-4,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-5,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-6,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-7,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-8,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2022-9,Anl Administrativo Iii,Solteiro,1,1,41.0,60,34,1990-03-06
2021-10,Anl Ambiental I,Solteiro,1,0,34.0,34,34,2019-10-03
2021-11,Anl Ambiental I,Solteiro,1,0,34.0,34,34,2019-10-03
2021-12,Anl Ambiental I,Solteiro,1,0,34.0,34,34,2019-10-03
